IN-KA,74.99,12.17,77.28,17.41
IN-PB,74.05,29.79,76.77,31.92
IN-OR,83.23,18.84,87.82,22.21
IN-AP,77.78,13.56,80.27,19.17
IN-JH,84.02,22.46,86.81,24.56
IN-MN,93.0872,24.0503,94.6802,25.5152
IN-ML,89.7363,25.1601,92.6367,25.9888
IN-AR,91.85,27.16,97.49,29.36
IN-TR,91.1536,22.8437,92.3291,24.6865
IN-TN,77.39,7.8,82.09,12.75
IN-MH,72.49,18.39,80.35,21.47
IN-RJ,70.58,24.46,76.97,28.29
IN-BR,83.83,24.49,87.91,26.81
IN-MZ,92.439,22.4106,93.3179,24.2534
IN-JK,73.87,32.61,79.39,35.06
IN-HP,76.0,30.71,78.88,32.61
IN-AS,89.7253,25.3842,94.9988,27.2414
IN-AN,92.1204,9.319,93.3618,13.6246
IN-GJ,69.19,21.34,74.11,24.11
IN-GA,72.8339,17.7783,73.0508,18.8118
IN-CH,74.05,29.79,76.77,31.92
IN-CT,81.21,18.46,82.55,22.93
IN-SK,87.39,26.46,91.27,28.8
IN-UP,77.7063,25.3443,84.2761,30.0855
IN-UT,77.87,29.43,80.97,31.21
IN-HR,75.72,28.11,76.84,29.99
IN-NL,94.2297,25.2512,95.8228,26.7162
IN-DL,76.97,28.25,77.61,28.86
IN-DD,68.4998,22.8285,71.0156,23.862
IN-WB,86.75,21.77,89.01,24.21
IN-MP,74.69,21.68,80.97,24.89
IN-KL,75.19,8.17,77.06,11.98
